rank,id,model,feature_group,architecture,variant,n,MAE,RMSE,nMAE,nMAE_pct,Bias,R2,feature_count,training_time,mean_fold_MAE,std_fold_MAE,D1_D2_strategy,turbine_strategy,MAE_D1,MAE_D2,MAE_turbine_1,MAE_turbine_2
1,LightGBM__Top15__global__default,LightGBM,Top15,global,default,11552,0.15054440950182635,0.2281337591688323,0.15054440950182635,15.054440950182634,0.010716930908226775,0.6048855897833212,15,3.9269309000046633,0.1501407572391696,0.018412725214300964,combined,global,0.14233740145611232,0.15875141754754044,0.1500577075937348,0.15103212361492613
2,LightGBM__Top15__turbine__default,LightGBM,Top15,turbine,default,11552,0.15057794988801593,0.22817881050613406,0.15057794988801593,15.057794988801593,0.009683834329399378,0.6047295217798232,15,5.478260399999272,0.15018197182413803,0.018124774281384443,combined,separate,0.14264777016842992,0.15850812960760194,0.1511190601397307,0.1500357142770255
3,LightGBM__Top20__global__default,LightGBM,Top20,global,default,11552,0.1511903971512602,0.22865585126089122,0.1511903971512602,15.11903971512602,0.01376166516399593,0.6030750541021915,20,4.451228699996136,0.1507699220333162,0.018451418886808665,combined,global,0.14281156283627156,0.15956923146624885,0.15064614843551086,0.15173577775342015
4,LightGBM__Top15__horizon_turbine__default,LightGBM,Top15,horizon_turbine,default,11552,0.1512059613876396,0.22854991296459642,0.1512059613876396,15.12059613876396,0.010440497530239413,0.6034427666389759,15,6.661141199994745,0.15082316925880201,0.017907208637729783,separate,separate,0.1423152680785687,0.16009665469671047,0.15128872197277646,0.15112302868343486
5,LightGBM__Top20__global__richer,LightGBM,Top20,global,richer,11552,0.1512798148363697,0.22817352021357795,0.1512798148363697,15.12798148363697,0.011897298078959789,0.6047478501445216,20,6.750516500000231,0.15091398990823485,0.017564117010645586,combined,global,0.14315129493463916,0.1594083347381002,0.1508056367159286,0.15175497911581343
6,LightGBM__Top15__global__richer,LightGBM,Top15,global,richer,11552,0.15134432850863036,0.22886762194953908,0.15134432850863036,15.134432850863035,0.011487492159345494,0.6023394858357781,15,5.55576690000089,0.15094688495408426,0.01886037362401331,combined,global,0.14335188758764847,0.1593367694296122,0.15102322261202197,0.15166610221646212
7,LightGBM__Top15__global__regularized,LightGBM,Top15,global,regularized,11552,0.15137804919035625,0.22983654824189914,0.15137804919035625,15.137804919035624,0.014886438899479595,0.5989653140871423,15,5.859702300000208,0.1509502759622055,0.01949868111427416,combined,global,0.14312722552140536,0.15962887285930716,0.15083817253255336,0.15191904864190156
8,CatBoost__Top15__global__default,CatBoost,Top15,global,default,11552,0.15161593010870172,0.22904077620243735,0.15161593010870172,15.161593010870172,0.021394208494867603,0.6017375426159004,15,16.65838050000093,0.15118289952426484,0.02021611459320947,combined,global,0.14358096389070052,0.15965089632670296,0.1511609180146337,0.15207188850175224
9,LightGBM__Top50__global__default,LightGBM,Top50,global,default,11552,0.151679505464797,0.22786365970944764,0.151679505464797,15.1679505464797,0.011481828305056854,0.6058206290618894,50,7.647845200001029,0.15127514458598335,0.01873156887041088,combined,global,0.1436749296982131,0.15968408123138095,0.15099660762044026,0.15236382354730496
10,LightGBM__Top15__horizon__default,LightGBM,Top15,horizon,default,11552,0.15172986733153668,0.22844954104705958,0.15172986733153668,15.172986733153667,0.011498009318893443,0.6037910010290204,15,5.959741099995881,0.15131169801294264,0.018735049383852804,separate,global,0.14283281561764236,0.16062691904543097,0.15121888745375597,0.15224190990577027
11,LightGBM__Top20__global__regularized,LightGBM,Top20,global,regularized,11552,0.1520457647014295,0.23048945381947716,0.1520457647014295,15.20457647014295,0.01491988928946731,0.5966836083131681,20,5.395173499997327,0.1515956307723369,0.019398710913339785,combined,global,0.14347292930619945,0.16061860009665957,0.15151269107857376,0.15257994696960148
12,CatBoost__Top15__global__regularized,CatBoost,Top15,global,regularized,11552,0.15211592472278232,0.22989855875142012,0.15211592472278232,15.211592472278232,0.021193015991565225,0.5987488844533464,15,21.686068400002114,0.151679290445404,0.019859683254788443,combined,global,0.14401700298436076,0.16021484646120396,0.15151337790712746,0.15271972466872974
13,LightGBM__Top30__global__default,LightGBM,Top30,global,default,11552,0.15218096898286684,0.23065181016184996,0.15218096898286684,15.218096898286685,0.01255725827420947,0.5961152175653402,30,6.174389899999369,0.15176984163268586,0.018524626737405497,combined,global,0.14330812799341464,0.16105380997231905,0.1515470357216163,0.15281622064951345
14,CatBoost__Top15__global__richer,CatBoost,Top15,global,richer,11552,0.1524265623141935,0.2303292462766516,0.1524265623141935,15.24265623141935,0.017717774362273186,0.597244084040877,15,18.49086200000238,0.15201667873340838,0.018948030026763894,combined,global,0.14448981042842754,0.1603633141999595,0.15206241297792605,0.1527914689801031
15,CatBoost__Top20__global__default,CatBoost,Top20,global,default,11552,0.15316816343107414,0.23077522835752623,0.15316816343107414,15.316816343107414,0.022354818992064675,0.5956828769981501,20,17.940103699998872,0.15274054266244433,0.01902317133092683,combined,global,0.1448300012805525,0.16150632558159578,0.1526915100193024,0.1536458081497681
16,LightGBM__Full206__global__default,LightGBM,Full206,global,default,11552,0.15407890012163175,0.23039454571618773,0.15407890012163175,15.407890012163175,0.019609984522681943,0.5970156852243358,206,23.36157639999874,0.15370598766034746,0.017669684866952612,combined,global,0.14481448661018673,0.16334331363307683,0.1534006612964664,0.15475854949548032
17,CatBoost__Top50__global__default,CatBoost,Top50,global,default,11552,0.15451219227240123,0.23243707017282403,0.15451219227240123,15.451219227240124,0.02466330253194703,0.5898388324257768,50,19.046187299998564,0.1541039150984017,0.01897603522709688,combined,global,0.146198886881442,0.16282549766336046,0.15392687430879376,0.15509872753506643
18,CatBoost__Top30__global__default,CatBoost,Top30,global,default,11552,0.15460525023122126,0.23244101988397883,0.15460525023122126,15.460525023122127,0.02581139874113633,0.5898248928945155,30,20.498020600000018,0.1541494780211747,0.01961185641510576,combined,global,0.14603774389614171,0.16317275656630081,0.15395362124755135,0.15525823442248285
19,LightGBM__Full_No_Performance__global__default,LightGBM,Full_No_Performance,global,default,11552,0.15498846802665583,0.2333378435188202,0.15498846802665583,15.498846802665584,0.02534264785775234,0.5866536421849612,21,6.414437499999622,0.15463404821821464,0.018336628379959884,combined,global,0.1468438061884018,0.16313312986490985,0.15398762250006873,0.15599139503440743
20,CatBoost__Top10__global__default,CatBoost,Top10,global,default,11552,0.15556029284040632,0.23515741151895928,0.15556029284040632,15.556029284040632,0.016814691284960527,0.5801819590890129,10,12.533278099996096,0.1550937143915641,0.019550945607541458,combined,global,0.14705176961173033,0.16406881606908227,0.15512151885332184,0.15599997935571347
21,LightGBM__CORE__global__default,LightGBM,CORE,global,default,11552,0.1561883143779488,0.23435506513058016,0.1561883143779488,15.618831437794881,0.024733537985258337,0.58304187191272,21,5.786104200000409,0.15581066521995404,0.01869019302995848,combined,global,0.14790249996174307,0.16447412879415454,0.15497797683344275,0.1574011690889252
22,LightGBM__Top10__global__default,LightGBM,Top10,global,default,11552,0.1562147644952331,0.2344167997334305,0.1562147644952331,15.62147644952331,0.017150716381109047,0.5828221699422482,10,4.156011799997941,0.15576393170265423,0.018496262896471483,combined,global,0.14782785096466064,0.16460167802580558,0.15567052066584786,0.15676014020086665
23,CatBoost__Full_No_Performance__global__default,CatBoost,Full_No_Performance,global,default,11552,0.15638316227515545,0.23600830279159832,0.15638316227515545,15.638316227515544,0.029729951679076317,0.5771383315496776,21,14.000297100003081,0.1558960341222137,0.02106140906845877,combined,global,0.14812696595768993,0.16463935859262088,0.15545335431622598,0.15731490397680706
24,LightGBM__Simple__global__default,LightGBM,Simple,global,default,11552,0.15645443993445401,0.23000476951156673,0.15645443993445401,15.6454439934454,0.018369189696931812,0.5983780510686283,10,3.7730981999993674,0.1559874735811982,0.02020390000871369,combined,global,0.1498265995896435,0.16308228027926452,0.15553246376713512,0.1573783335565403
25,LightGBM__Full__global__default,LightGBM,Full,global,default,11552,0.1565340435444727,0.23474182224063583,0.1565340435444727,15.65340435444727,0.023416501084940186,0.5816645209618234,24,4.89461449999726,0.15616140899007883,0.018523262601098572,combined,global,0.14791190783326455,0.16515617925568085,0.15555564882390804,0.15751447305475086
26,CatBoost__CORE__global__default,CatBoost,CORE,global,default,11552,0.15707653490741327,0.23630559889470132,0.15707653490741327,15.707653490741327,0.029196754881548943,0.576072315605161,21,10.62974430000395,0.1566429790858569,0.019852622860333114,combined,global,0.14851795087416428,0.1656351189406623,0.15606274728074496,0.15809243093122544
27,CatBoost__Simple__global__default,CatBoost,Simple,global,default,11552,0.1571450359131632,0.23384169168680358,0.1571450359131632,15.71450359131632,0.024136374477037554,0.5848666310873409,10,14.77188920000117,0.1566286593077127,0.021103568375057485,combined,global,0.14972441620297766,0.16456565562334877,0.1565571631573767,0.1577341312812668
28,LightGBM__All__global__default,LightGBM,All,global,default,11552,0.1574109403200297,0.23422917614903643,0.1574109403200297,15.74109403200297,0.02477815266625189,0.5834897080699291,16,5.555149899999378,0.15706655358078853,0.01768816138560366,combined,global,0.14887431000044393,0.16594757063961546,0.15644987147205133,0.15837400792471096
29,LightGBM__All_Disagreement__global__default,LightGBM,All_Disagreement,global,default,11552,0.15783139614281125,0.23448158940203462,0.15783139614281125,15.783139614281124,0.027477526905939572,0.5825915333275479,17,4.980209199999081,0.15746937370582348,0.01782957763095746,combined,global,0.14919564260337026,0.1664671496822522,0.15685264431068663,0.15881218350734233
30,CatBoost__Full__global__default,CatBoost,Full,global,default,11552,0.15788560140551225,0.23615477437299257,0.15788560140551225,15.788560140551224,0.030070267094707257,0.5766132954699446,24,17.355794700000843,0.15749310762158616,0.019265271415096413,combined,global,0.14939466809442725,0.16637653471659725,0.15696593675617287,0.15880717870230257
31,CatBoost__All__global__default,CatBoost,All,global,default,11552,0.15789766483307635,0.23429821522531294,0.15789766483307635,15.789766483307636,0.028174382125472457,0.5832441389727849,16,17.640295800003514,0.1574711405440925,0.019641493957314068,combined,global,0.14950509798420766,0.16629023168194498,0.15735509547411802,0.15844136258584873
32,CatBoost__All_Disagreement__global__default,CatBoost,All_Disagreement,global,default,11552,0.15939942886665812,0.23685752133767804,0.15939942886665812,15.939942886665811,0.02997653868155947,0.57408972658431,17,21.77342199999839,0.1589445793400302,0.021227764740733568,combined,global,0.15116225525820048,0.16763660247511578,0.15877195982950523,0.16002820286541342
33,LightGBM__Weighted__global__default,LightGBM,Weighted,global,default,11552,0.16001906117087383,0.238602481308804,0.16001906117087383,16.001906117087383,0.024701229984076273,0.5677911384197958,13,4.453275500000018,0.1595390630145682,0.021761515696878248,combined,global,0.15201831236011606,0.1680198099816316,0.1589782680624434,0.16106201884036167
34,CatBoost__Weighted__global__default,CatBoost,Weighted,global,default,11552,0.16025922371126766,0.23836296486580622,0.16025922371126766,16.025922371126768,0.024411021262229153,0.5686584317501748,13,13.081469199998537,0.15975772527179366,0.020283290906321336,combined,global,0.1516518956920561,0.16886655173047924,0.15931575622313285,0.1612046533501577
35,XGBoost__Full__global__default,XGBoost,Full,global,default,11552,0.16074022207693714,0.2312716392401525,0.16074022207693714,16.074022207693712,0.03746832107660791,0.5939415871035387,24,8.203087600002618,0.16033827867464276,0.019223625708449245,combined,global,0.15259773860868095,0.16888270554519333,0.15915541820438261,0.1623283219020862
