model,model_id,turbine_id,archive_day,nominal_lead_hours,variable,earliest_available_date,latest_available_date,non_null_values,requested_values,coverage_pct,coverage_scope
ecmwf,ecmwf_ifs025,turbine_1,1,24,wind_speed_10m,2024-02-04 00:00:00+00:00,2026-03-02 23:00:00+00:00,18192,26136,69.60514233241506,within_requested_download_interval_not_global_archive_bounds
ecmwf,ecmwf_ifs025,turbine_1,1,24,wind_speed_100m,2024-03-06 18:00:00+00:00,2026-03-02 23:00:00+00:00,17430,26136,66.68962350780532,within_requested_download_interval_not_global_archive_bounds
ecmwf,ecmwf_ifs025,turbine_1,1,24,wind_direction_10m,2024-02-04 00:00:00+00:00,2026-03-02 23:00:00+00:00,18192,26136,69.60514233241506,within_requested_download_interval_not_global_archive_bounds
ecmwf,ecmwf_ifs025,turbine_1,1,24,wind_direction_100m,2024-03-06 18:00:00+00:00,2026-03-02 23:00:00+00:00,17430,26136,66.68962350780532,within_requested_download_interval_not_global_archive_bounds
ecmwf,ecmwf_ifs025,turbine_1,1,24,temperature_2m,2024-02-04 00:00:00+00:00,2026-03-02 23:00:00+00:00,18192,26136,69.60514233241506,within_requested_download_interval_not_global_archive_bounds
ecmwf,ecmwf_ifs025,turbine_1,1,24,surface_pressure,2024-02-04 00:00:00+00:00,2026-03-02 23:00:00+00:00,18192,26136,69.60514233241506,within_requested_download_interval_not_global_archive_bounds
ecmwf,ecmwf_ifs025,turbine_1,1,24,relative_humidity_2m,2024-02-29 18:00:00+00:00,2026-03-02 23:00:00+00:00,17574,26136,67.24058769513314,within_requested_download_interval_not_global_archive_bounds
ecmwf,ecmwf_ifs025,turbine_1,1,24,wind_gusts_10m,,,0,26136,0.0,within_requested_download_interval_not_global_archive_bounds
gfs,gfs_global,turbine_1,1,24,wind_speed_10m,2024-01-19 12:00:00+00:00,2026-03-02 23:00:00+00:00,18564,26136,71.02846648301194,within_requested_download_interval_not_global_archive_bounds
gfs,gfs_global,turbine_1,1,24,wind_speed_100m,2024-02-16 06:00:00+00:00,2026-03-02 23:00:00+00:00,17898,26136,68.48025711662076,within_requested_download_interval_not_global_archive_bounds
gfs,gfs_global,turbine_1,1,24,wind_direction_10m,2024-01-19 12:00:00+00:00,2026-03-02 23:00:00+00:00,18564,26136,71.02846648301194,within_requested_download_interval_not_global_archive_bounds
gfs,gfs_global,turbine_1,1,24,wind_direction_100m,2024-02-16 06:00:00+00:00,2026-03-02 23:00:00+00:00,17898,26136,68.48025711662076,within_requested_download_interval_not_global_archive_bounds
gfs,gfs_global,turbine_1,1,24,temperature_2m,2023-03-10 00:00:00+00:00,2026-03-02 23:00:00+00:00,25644,26136,98.11753902662994,within_requested_download_interval_not_global_archive_bounds
gfs,gfs_global,turbine_1,1,24,surface_pressure,2024-01-19 12:00:00+00:00,2026-03-02 23:00:00+00:00,18564,26136,71.02846648301194,within_requested_download_interval_not_global_archive_bounds
gfs,gfs_global,turbine_1,1,24,relative_humidity_2m,2024-01-19 12:00:00+00:00,2026-03-02 23:00:00+00:00,18564,26136,71.02846648301194,within_requested_download_interval_not_global_archive_bounds
gfs,gfs_global,turbine_1,1,24,wind_gusts_10m,2024-01-19 12:00:00+00:00,2026-03-02 23:00:00+00:00,18564,26136,71.02846648301194,within_requested_download_interval_not_global_archive_bounds
icon,icon_global,turbine_1,1,24,wind_speed_10m,2024-01-19 12:00:00+00:00,2026-03-02 23:00:00+00:00,18564,26136,71.02846648301194,within_requested_download_interval_not_global_archive_bounds
icon,icon_global,turbine_1,1,24,wind_speed_100m,2024-02-16 12:00:00+00:00,2026-03-02 23:00:00+00:00,17892,26136,68.4573002754821,within_requested_download_interval_not_global_archive_bounds
icon,icon_global,turbine_1,1,24,wind_direction_10m,2024-01-19 12:00:00+00:00,2026-03-02 23:00:00+00:00,18564,26136,71.02846648301194,within_requested_download_interval_not_global_archive_bounds
icon,icon_global,turbine_1,1,24,wind_direction_100m,2024-02-16 12:00:00+00:00,2026-03-02 23:00:00+00:00,17892,26136,68.4573002754821,within_requested_download_interval_not_global_archive_bounds
icon,icon_global,turbine_1,1,24,temperature_2m,2024-01-19 12:00:00+00:00,2026-03-02 23:00:00+00:00,18564,26136,71.02846648301194,within_requested_download_interval_not_global_archive_bounds
icon,icon_global,turbine_1,1,24,surface_pressure,2024-01-19 12:00:00+00:00,2026-03-02 23:00:00+00:00,18564,26136,71.02846648301194,within_requested_download_interval_not_global_archive_bounds
icon,icon_global,turbine_1,1,24,relative_humidity_2m,2024-01-19 12:00:00+00:00,2026-03-02 23:00:00+00:00,18564,26136,71.02846648301194,within_requested_download_interval_not_global_archive_bounds
icon,icon_global,turbine_1,1,24,wind_gusts_10m,2024-01-19 12:00:00+00:00,2026-03-02 23:00:00+00:00,18564,26136,71.02846648301194,within_requested_download_interval_not_global_archive_bounds
ecmwf,ecmwf_ifs025,turbine_1,2,48,wind_speed_10m,2024-02-05 00:00:00+00:00,2026-03-02 23:00:00+00:00,18168,26136,69.51331496786042,within_requested_download_interval_not_global_archive_bounds
ecmwf,ecmwf_ifs025,turbine_1,2,48,wind_speed_100m,2024-03-07 18:00:00+00:00,2026-03-02 23:00:00+00:00,17406,26136,66.59779614325069,within_requested_download_interval_not_global_archive_bounds
ecmwf,ecmwf_ifs025,turbine_1,2,48,wind_direction_10m,2024-02-05 00:00:00+00:00,2026-03-02 23:00:00+00:00,18168,26136,69.51331496786042,within_requested_download_interval_not_global_archive_bounds
ecmwf,ecmwf_ifs025,turbine_1,2,48,wind_direction_100m,2024-03-07 18:00:00+00:00,2026-03-02 23:00:00+00:00,17406,26136,66.59779614325069,within_requested_download_interval_not_global_archive_bounds
ecmwf,ecmwf_ifs025,turbine_1,2,48,temperature_2m,2024-02-05 00:00:00+00:00,2026-03-02 23:00:00+00:00,18168,26136,69.51331496786042,within_requested_download_interval_not_global_archive_bounds
