model_key,feature,mean_absolute_shap,sample_rows
LightGBM__Top15__global__default__global__all_history,turbine_id,0.0004944400314210385,128
LightGBM__Top15__global__default__global__all_history,turbine_id,8.426423711218761e-05,128
LightGBM__Top15__global__default__global__all_history,lead_hours,0.0008721131825076061,128
LightGBM__Top15__global__default__global__all_history,ensemble_wind_speed_100m,0.21043663181620248,128
LightGBM__Top15__global__default__global__all_history,ecmwf_wind_speed_10m,0.01935143800553015,128
LightGBM__Top15__global__default__global__all_history,wind_speed_10m_mean,0.03731106484142484,128
LightGBM__Top15__global__default__global__all_history,ecmwf_surface_pressure,0.007737974539968982,128
LightGBM__Top15__global__default__global__all_history,day_of_year_cos,0.008490015420686515,128
LightGBM__Top15__global__default__global__all_history,day_of_year_sin,0.008258242891608675,128
LightGBM__Top15__global__default__global__all_history,ecmwf_wind_speed_100m,0.014274576864380295,128
LightGBM__Top15__global__default__global__all_history,gfs_wind_direction_100m_sin,0.015380339723078512,128
LightGBM__Top15__global__default__global__all_history,icon_wind_gusts_10m,0.01739606350259194,128
LightGBM__Top15__global__default__global__all_history,gfs_wind_direction_10m_cos,0.018997970271321413,128
LightGBM__Top15__global__default__global__all_history,hour_sin,0.010643245985875856,128
LightGBM__Top15__global__default__global__all_history,icon_wind_speed_100m,0.004314174381633376,128
LightGBM__Top15__global__default__global__all_history,gfs_relative_humidity_2m,0.006062519108432311,128
