model,model_id,turbine_id,start_date,end_date,http_status,expected_hours,returned_hours,cache_key,body_sha256,request_url,retrieved_at,error,grid_latitude,grid_longitude
gfs,gfs_global,turbine_1,2025-05-28,2025-08-25,200,2160,2160,dfea006289594f6f0fc1b4dabf1fdc02e489d0538aeafb80487878d60bff6d22,e3b29b120ecd3f79ceefc8bcf037a3be585bfa281fa98312befe2b4de297eb89,https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2025-08-25&hourly=wind_speed_10m_previous_day1%2Cwind_speed_10m_previous_day2%2Cwind_speed_100m_previous_day1%2Cwind_speed_100m_previous_day2%2Cwind_direction_10m_previous_day1%2Cwind_direction_10m_previous_day2%2Cwind_direction_100m_previous_day1%2Cwind_direction_100m_previous_day2%2Ctemperature_2m_previous_day1%2Ctemperature_2m_previous_day2%2Csurface_pressure_previous_day1%2Csurface_pressure_previous_day2%2Crelative_humidity_2m_previous_day1%2Crelative_humidity_2m_previous_day2%2Cwind_gusts_10m_previous_day1%2Cwind_gusts_10m_previous_day2&latitude=43.64515&longitude=78.535604&models=gfs_global&start_date=2025-05-28&temperature_unit=celsius&timezone=GMT&wind_speed_unit=ms,2026-09-23T10:48:44.733605+00:00,,43.638138,78.515625
gfs,gfs_global,turbine_1,2025-08-26,2025-11-23,200,2160,2160,0bfec27eec5a81f870e461c703ba207c672c5893bad4d0d6d870f0cf4985d337,b5877c2ed72e57cd063f76b9637ff787755a7058b8ee3184beb6bcb99826ddc0,https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2025-11-23&hourly=wind_speed_10m_previous_day1%2Cwind_speed_10m_previous_day2%2Cwind_speed_100m_previous_day1%2Cwind_speed_100m_previous_day2%2Cwind_direction_10m_previous_day1%2Cwind_direction_10m_previous_day2%2Cwind_direction_100m_previous_day1%2Cwind_direction_100m_previous_day2%2Ctemperature_2m_previous_day1%2Ctemperature_2m_previous_day2%2Csurface_pressure_previous_day1%2Csurface_pressure_previous_day2%2Crelative_humidity_2m_previous_day1%2Crelative_humidity_2m_previous_day2%2Cwind_gusts_10m_previous_day1%2Cwind_gusts_10m_previous_day2&latitude=43.64515&longitude=78.535604&models=gfs_global&start_date=2025-08-26&temperature_unit=celsius&timezone=GMT&wind_speed_unit=ms,2026-09-23T10:48:46.651173+00:00,,43.638138,78.515625
gfs,gfs_global,turbine_1,2025-11-24,2026-02-21,200,2160,2160,85088a017713acc90e356b5f51cc2fc2858e9efee276cd9f6d486795a137392e,1122e32365386b84ca575d761067b3f968065f4d0c548539dae6c2436a8237bb,https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2026-02-21&hourly=wind_speed_10m_previous_day1%2Cwind_speed_10m_previous_day2%2Cwind_speed_100m_previous_day1%2Cwind_speed_100m_previous_day2%2Cwind_direction_10m_previous_day1%2Cwind_direction_10m_previous_day2%2Cwind_direction_100m_previous_day1%2Cwind_direction_100m_previous_day2%2Ctemperature_2m_previous_day1%2Ctemperature_2m_previous_day2%2Csurface_pressure_previous_day1%2Csurface_pressure_previous_day2%2Crelative_humidity_2m_previous_day1%2Crelative_humidity_2m_previous_day2%2Cwind_gusts_10m_previous_day1%2Cwind_gusts_10m_previous_day2&latitude=43.64515&longitude=78.535604&models=gfs_global&start_date=2025-11-24&temperature_unit=celsius&timezone=GMT&wind_speed_unit=ms,2026-09-23T10:48:48.541942+00:00,,43.638138,78.515625
gfs,gfs_global,turbine_1,2026-02-22,2026-03-02,200,216,216,a7bc9ebad380e07bed150ea13f1adb55f9fe5718dc76046dd8470edbeb050219,f092bd4b9a8280def7552f1aa54eeed0a6a2f97f0a8183e6d0abe146e7ff8487,https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2026-03-02&hourly=wind_speed_10m_previous_day1%2Cwind_speed_10m_previous_day2%2Cwind_speed_100m_previous_day1%2Cwind_speed_100m_previous_day2%2Cwind_direction_10m_previous_day1%2Cwind_direction_10m_previous_day2%2Cwind_direction_100m_previous_day1%2Cwind_direction_100m_previous_day2%2Ctemperature_2m_previous_day1%2Ctemperature_2m_previous_day2%2Csurface_pressure_previous_day1%2Csurface_pressure_previous_day2%2Crelative_humidity_2m_previous_day1%2Crelative_humidity_2m_previous_day2%2Cwind_gusts_10m_previous_day1%2Cwind_gusts_10m_previous_day2&latitude=43.64515&longitude=78.535604&models=gfs_global&start_date=2026-02-22&temperature_unit=celsius&timezone=GMT&wind_speed_unit=ms,2026-09-23T10:48:50.032511+00:00,,43.638138,78.515625
gfs,gfs_global,turbine_2,2023-03-10,2023-06-07,200,2160,2160,2156eed50de5b9c14a5a5b57ab470f94c1d61cf10622c01b0e2448a598c11e5e,40bf407afcbea4c0b432fc1c20ccc26912089f2cad5783a2408f77a99aa35071,https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2023-06-07&hourly=wind_speed_10m_previous_day1%2Cwind_speed_10m_previous_day2%2Cwind_speed_100m_previous_day1%2Cwind_speed_100m_previous_day2%2Cwind_direction_10m_previous_day1%2Cwind_direction_10m_previous_day2%2Cwind_direction_100m_previous_day1%2Cwind_direction_100m_previous_day2%2Ctemperature_2m_previous_day1%2Ctemperature_2m_previous_day2%2Csurface_pressure_previous_day1%2Csurface_pressure_previous_day2%2Crelative_humidity_2m_previous_day1%2Crelative_humidity_2m_previous_day2%2Cwind_gusts_10m_previous_day1%2Cwind_gusts_10m_previous_day2&latitude=43.643198&longitude=78.538828&models=gfs_global&start_date=2023-03-10&temperature_unit=celsius&timezone=GMT&wind_speed_unit=ms,2026-09-23T10:48:51.778027+00:00,,43.638138,78.515625
gfs,gfs_global,turbine_2,2023-06-08,2023-09-05,200,2160,2160,a08899bcdc296ab09eea8ff8c2cd4632b1ccb82c068801ac4b31ca94d169a99f,9be5fa2fe502b58f484d375af37ee2f549d4bd607ba05ecc391848c287069581,https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2023-09-05&hourly=wind_speed_10m_previous_day1%2Cwind_speed_10m_previous_day2%2Cwind_speed_100m_previous_day1%2Cwind_speed_100m_previous_day2%2Cwind_direction_10m_previous_day1%2Cwind_direction_10m_previous_day2%2Cwind_direction_100m_previous_day1%2Cwind_direction_100m_previous_day2%2Ctemperature_2m_previous_day1%2Ctemperature_2m_previous_day2%2Csurface_pressure_previous_day1%2Csurface_pressure_previous_day2%2Crelative_humidity_2m_previous_day1%2Crelative_humidity_2m_previous_day2%2Cwind_gusts_10m_previous_day1%2Cwind_gusts_10m_previous_day2&latitude=43.643198&longitude=78.538828&models=gfs_global&start_date=2023-06-08&temperature_unit=celsius&timezone=GMT&wind_speed_unit=ms,2026-09-23T10:48:53.522860+00:00,,43.638138,78.515625
gfs,gfs_global,turbine_2,2023-09-06,2023-12-04,200,2160,2160,810cb73867c1cb3f52ea57711e48013242d2e490c6778ee476e5574d3d96e3bf,37c8ab182d4596fcbc5cd031f0e729e58371b768d13806a1cc6120adf133fdd8,https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2023-12-04&hourly=wind_speed_10m_previous_day1%2Cwind_speed_10m_previous_day2%2Cwind_speed_100m_previous_day1%2Cwind_speed_100m_previous_day2%2Cwind_direction_10m_previous_day1%2Cwind_direction_10m_previous_day2%2Cwind_direction_100m_previous_day1%2Cwind_direction_100m_previous_day2%2Ctemperature_2m_previous_day1%2Ctemperature_2m_previous_day2%2Csurface_pressure_previous_day1%2Csurface_pressure_previous_day2%2Crelative_humidity_2m_previous_day1%2Crelative_humidity_2m_previous_day2%2Cwind_gusts_10m_previous_day1%2Cwind_gusts_10m_previous_day2&latitude=43.643198&longitude=78.538828&models=gfs_global&start_date=2023-09-06&temperature_unit=celsius&timezone=GMT&wind_speed_unit=ms,2026-09-23T10:48:55.301088+00:00,,43.638138,78.515625
gfs,gfs_global,turbine_2,2023-12-05,2024-03-03,200,2160,2160,8dc097c2c8e1563c2b3c628ac81706d7e2bf2cef7b47619b12aaee2b398f6ded,ec9fd6d974551fd7c14a418d58b21a9124678033025aba995099e4cd564a8297,https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2024-03-03&hourly=wind_speed_10m_previous_day1%2Cwind_speed_10m_previous_day2%2Cwind_speed_100m_previous_day1%2Cwind_speed_100m_previous_day2%2Cwind_direction_10m_previous_day1%2Cwind_direction_10m_previous_day2%2Cwind_direction_100m_previous_day1%2Cwind_direction_100m_previous_day2%2Ctemperature_2m_previous_day1%2Ctemperature_2m_previous_day2%2Csurface_pressure_previous_day1%2Csurface_pressure_previous_day2%2Crelative_humidity_2m_previous_day1%2Crelative_humidity_2m_previous_day2%2Cwind_gusts_10m_previous_day1%2Cwind_gusts_10m_previous_day2&latitude=43.643198&longitude=78.538828&models=gfs_global&start_date=2023-12-05&temperature_unit=celsius&timezone=GMT&wind_speed_unit=ms,2026-09-23T10:48:57.008320+00:00,,43.638138,78.515625
gfs,gfs_global,turbine_2,2024-03-04,2024-06-01,200,2160,2160,c7392c30169af6312958b734e911269b74621a16dc70c28e988600a027f72cd8,5ad4f6b87015ba9dd0a0d7d2323cadad2ad923f520a149cd6aa86117f565607c,https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2024-06-01&hourly=wind_speed_10m_previous_day1%2Cwind_speed_10m_previous_day2%2Cwind_speed_100m_previous_day1%2Cwind_speed_100m_previous_day2%2Cwind_direction_10m_previous_day1%2Cwind_direction_10m_previous_day2%2Cwind_direction_100m_previous_day1%2Cwind_direction_100m_previous_day2%2Ctemperature_2m_previous_day1%2Ctemperature_2m_previous_day2%2Csurface_pressure_previous_day1%2Csurface_pressure_previous_day2%2Crelative_humidity_2m_previous_day1%2Crelative_humidity_2m_previous_day2%2Cwind_gusts_10m_previous_day1%2Cwind_gusts_10m_previous_day2&latitude=43.643198&longitude=78.538828&models=gfs_global&start_date=2024-03-04&temperature_unit=celsius&timezone=GMT&wind_speed_unit=ms,2026-09-23T10:48:58.785485+00:00,,43.638138,78.515625
gfs,gfs_global,turbine_2,2024-06-02,2024-08-30,200,2160,2160,51f750fc929b6127e4f75712d61a3a7dfffd83d71e6869db8c5eaad8af065501,dfaa43d418e59a5b6a795bc36ed3838c55151d1caad401d5ebf241dde98ca9bb,https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2024-08-30&hourly=wind_speed_10m_previous_day1%2Cwind_speed_10m_previous_day2%2Cwind_speed_100m_previous_day1%2Cwind_speed_100m_previous_day2%2Cwind_direction_10m_previous_day1%2Cwind_direction_10m_previous_day2%2Cwind_direction_100m_previous_day1%2Cwind_direction_100m_previous_day2%2Ctemperature_2m_previous_day1%2Ctemperature_2m_previous_day2%2Csurface_pressure_previous_day1%2Csurface_pressure_previous_day2%2Crelative_humidity_2m_previous_day1%2Crelative_humidity_2m_previous_day2%2Cwind_gusts_10m_previous_day1%2Cwind_gusts_10m_previous_day2&latitude=43.643198&longitude=78.538828&models=gfs_global&start_date=2024-06-02&temperature_unit=celsius&timezone=GMT&wind_speed_unit=ms,2026-09-23T10:49:00.568364+00:00,,43.638138,78.515625
gfs,gfs_global,turbine_2,2024-08-31,2024-11-28,200,2160,2160,e1592cfdb28d4e1e63e3aa6a3eb650112cc3d7aed191b084797bcccb9142303d,9271b8625278503f7ca1855c10afa9844fb6156c4a365d7a205a068710da9659,https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2024-11-28&hourly=wind_speed_10m_previous_day1%2Cwind_speed_10m_previous_day2%2Cwind_speed_100m_previous_day1%2Cwind_speed_100m_previous_day2%2Cwind_direction_10m_previous_day1%2Cwind_direction_10m_previous_day2%2Cwind_direction_100m_previous_day1%2Cwind_direction_100m_previous_day2%2Ctemperature_2m_previous_day1%2Ctemperature_2m_previous_day2%2Csurface_pressure_previous_day1%2Csurface_pressure_previous_day2%2Crelative_humidity_2m_previous_day1%2Crelative_humidity_2m_previous_day2%2Cwind_gusts_10m_previous_day1%2Cwind_gusts_10m_previous_day2&latitude=43.643198&longitude=78.538828&models=gfs_global&start_date=2024-08-31&temperature_unit=celsius&timezone=GMT&wind_speed_unit=ms,2026-09-23T10:49:02.298253+00:00,,43.638138,78.515625
gfs,gfs_global,turbine_2,2024-11-29,2025-02-26,200,2160,2160,9d8717a030b1fea64b00a811c25703606d31460841e1d4699da2ea15bab56d0c,c0efb3168aef234f4c4947a67c5fe066bf442cb381a02c33ca5d6a8295757524,https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2025-02-26&hourly=wind_speed_10m_previous_day1%2Cwind_speed_10m_previous_day2%2Cwind_speed_100m_previous_day1%2Cwind_speed_100m_previous_day2%2Cwind_direction_10m_previous_day1%2Cwind_direction_10m_previous_day2%2Cwind_direction_100m_previous_day1%2Cwind_direction_100m_previous_day2%2Ctemperature_2m_previous_day1%2Ctemperature_2m_previous_day2%2Csurface_pressure_previous_day1%2Csurface_pressure_previous_day2%2Crelative_humidity_2m_previous_day1%2Crelative_humidity_2m_previous_day2%2Cwind_gusts_10m_previous_day1%2Cwind_gusts_10m_previous_day2&latitude=43.643198&longitude=78.538828&models=gfs_global&start_date=2024-11-29&temperature_unit=celsius&timezone=GMT&wind_speed_unit=ms,2026-09-23T10:49:04.080266+00:00,,43.638138,78.515625
gfs,gfs_global,turbine_2,2025-02-27,2025-05-27,200,2160,2160,ead2097b02aca64f77ef5d440e147de477c2b112920cfbbe54370302786ba9ad,c05398d2803efaa864391b7fdd4e1c3e301cf54f16f8335c65c58334f4bbb2d2,https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2025-05-27&hourly=wind_speed_10m_previous_day1%2Cwind_speed_10m_previous_day2%2Cwind_speed_100m_previous_day1%2Cwind_speed_100m_previous_day2%2Cwind_direction_10m_previous_day1%2Cwind_direction_10m_previous_day2%2Cwind_direction_100m_previous_day1%2Cwind_direction_100m_previous_day2%2Ctemperature_2m_previous_day1%2Ctemperature_2m_previous_day2%2Csurface_pressure_previous_day1%2Csurface_pressure_previous_day2%2Crelative_humidity_2m_previous_day1%2Crelative_humidity_2m_previous_day2%2Cwind_gusts_10m_previous_day1%2Cwind_gusts_10m_previous_day2&latitude=43.643198&longitude=78.538828&models=gfs_global&start_date=2025-02-27&temperature_unit=celsius&timezone=GMT&wind_speed_unit=ms,2026-09-23T10:49:05.861401+00:00,,43.638138,78.515625
