horizon_bucket,n,MAE,RMSE,nMAE,nMAE_pct,Bias,R2,scope,turbine_id,target_hour,fold,wind_regime,power_regime,disagreement_regime,lead_hours
D1,5776,0.14233740145611232,0.21664194720905092,0.14233740145611232,14.233740145611232,0.013520525586321046,0.643689306431117,horizon_bucket,,,,,,,
D2,5776,0.15875141754754044,0.23907381883944623,0.15875141754754044,15.875141754754043,0.007913336230132498,0.5660818731355253,horizon_bucket,,,,,,,
,5782,0.1500577075937348,0.22678691342189922,0.1500577075937348,15.00577075937348,0.008058403342839658,0.6109639809355454,turbine_id,turbine_1,,,,,,
,5770,0.15103212361492613,0.2294754764855187,0.15103212361492613,15.103212361492613,0.01338098747374987,0.5986570531950779,turbine_id,turbine_2,,,,,,
D1,2891,0.14183651361897348,0.2151638943176868,0.14183651361897348,14.183651361897349,0.010861177008466602,0.6498189632450857,turbine_id+horizon_bucket,turbine_1,,,,,,
D2,2891,0.15827890156849608,0.23784260926274617,0.15827890156849608,15.827890156849609,0.005255629677212709,0.572108998626005,turbine_id+horizon_bucket,turbine_1,,,,,,
D1,2885,0.142839331001058,0.21811302691132714,0.142839331001058,14.2839331001058,0.016185404871789752,0.6374179633440338,turbine_id+horizon_bucket,turbine_2,,,,,,
D2,2885,0.15922491622879423,0.24030126114544292,0.15922491622879423,15.922491622879424,0.010576570075710003,0.559896143046122,turbine_id+horizon_bucket,turbine_2,,,,,,
,484,0.13447554458277067,0.19377064187453577,0.13447554458277067,13.447554458277066,0.008022745026676457,0.6561059705451378,target_hour,,0.0,,,,,
,484,0.14142708079360075,0.20321328618069723,0.14142708079360075,14.142708079360075,0.021088631863098,0.5987033778671795,target_hour,,1.0,,,,,
,484,0.14053778747399806,0.20817578494829234,0.14053778747399806,14.053778747399805,0.008593721853638074,0.5896164259826079,target_hour,,2.0,,,,,
,484,0.14881669931980962,0.2230009287451779,0.14881669931980962,14.881669931980962,0.015146752328195904,0.5592689677502487,target_hour,,3.0,,,,,
,484,0.13221388029774106,0.2055647946822038,0.13221388029774106,13.221388029774106,0.013631336685267212,0.6323881469442186,target_hour,,4.0,,,,,
,484,0.13706299399353217,0.21409946964442603,0.13706299399353217,13.706299399353217,0.021321653822792084,0.6161849826309866,target_hour,,5.0,,,,,
,482,0.14175836738203496,0.22008765972656744,0.14175836738203496,14.175836738203495,0.04180212543087838,0.5774744334146196,target_hour,,6.0,,,,,
,478,0.1498010267045903,0.22705668893626074,0.1498010267045903,14.980102670459031,0.044118775944229666,0.5321617875394486,target_hour,,7.0,,,,,
,478,0.17217004204087724,0.2584245824658068,0.17217004204087724,17.217004204087726,0.04051360376746876,0.44323106883322005,target_hour,,8.0,,,,,
,478,0.1739948480203474,0.26594138353756736,0.1739948480203474,17.39948480203474,0.05807999399949385,0.4539934235536298,target_hour,,9.0,,,,,
,472,0.16074778785274296,0.2511854881017161,0.16074778785274296,16.074778785274297,0.0669201656629331,0.5665996054804527,target_hour,,10.0,,,,,
,480,0.1458281744497243,0.23137496299695556,0.1458281744497243,14.582817444972429,0.05584712796643484,0.6566510406438633,target_hour,,11.0,,,,,
,480,0.1510724342373703,0.22828471210417275,0.1510724342373703,15.10724342373703,0.017225826462557787,0.662085003343817,target_hour,,12.0,,,,,
,480,0.13592362467805139,0.21242369062397976,0.13592362467805139,13.592362467805138,-0.009098530598003748,0.7079574649769589,target_hour,,13.0,,,,,
,480,0.1430918106577406,0.224078258528677,0.1430918106577406,14.30918106577406,-0.008124668675937715,0.6638048782070461,target_hour,,14.0,,,,,
,478,0.13293062324906674,0.21467567201420246,0.13293062324906674,13.293062324906673,-0.01537255334004713,0.6874986836814718,target_hour,,15.0,,,,,
,482,0.15000277224340405,0.2359574031727847,0.15000277224340405,15.000277224340405,-0.010747925415958448,0.6081470264496278,target_hour,,16.0,,,,,
,484,0.16667335442911826,0.25475336538520693,0.16667335442911826,16.667335442911828,-0.006807917908819506,0.5514077984560435,target_hour,,17.0,,,,,
,484,0.17055716187837333,0.25540081471523096,0.17055716187837333,17.055716187837334,-0.01597091562254166,0.5040336082780992,target_hour,,18.0,,,,,
,480,0.17406821075433634,0.258046561695512,0.17406821075433634,17.406821075433633,-0.035633463467186315,0.4923058250318919,target_hour,,19.0,,,,,
,484,0.16501106322171724,0.2334515629183433,0.16501106322171724,16.501106322171726,-0.034379479814256556,0.5707415600240583,target_hour,,20.0,,,,,
,484,0.1579047388569016,0.2181214063037141,0.1579047388569016,15.79047388569016,-0.01649113816287635,0.6008064276384211,target_hour,,21.0,,,,,
,480,0.1471272776586939,0.20905953644617273,0.1471272776586939,14.71272776586939,-0.0002765272201048571,0.6348796267622563,target_hour,,22.0,,,,,
,484,0.1403633143730746,0.2093707039453707,0.1403633143730746,14.036331437307458,-8.922856330656802e-05,0.6186209585093205,target_hour,,23.0,,,,,
,2748,0.13601521380053946,0.20698277772526907,0.13601521380053946,13.601521380053946,-0.025922756742894813,0.6168500469075394,fold,,,2025-10,,,,
,2880,0.12848116747866475,0.19680695257309935,0.12848116747866475,12.848116747866476,-0.007839965460629173,0.7252404508669368,fold,,,2025-11,,,,
,2948,0.17288909948221096,0.26160428102602207,0.17288909948221096,17.288909948221097,0.010420513559123585,0.5286168702755518,fold,,,2025-12,,,,
,2976,0.16317754819526323,0.2391403886444074,0.16317754819526323,16.31775481952632,0.06280146099987444,0.49784534569116456,fold,,,2026-01,,,,
,1696,0.04805842492284454,0.12752145497353445,0.04805842492284454,4.805842492284454,-0.03573451276487358,-0.05321475735581993,wind_regime,,,,<3,,,
,2980,0.1001595580650931,0.1663493608766185,0.1001595580650931,10.015955806509309,-0.04381108411563999,0.08690888875339309,wind_regime,,,,3-6,,,
,4098,0.22026133759509056,0.27309133506160227,0.22026133759509056,22.026133759509054,0.00794685357200485,0.2121996267006504,wind_regime,,,,6-10,,,
,2529,0.17716084229227588,0.2690891192887234,0.17716084229227588,17.716084229227587,0.11040358211678943,0.08230197985550247,wind_regime,,,,10-15,,,
,249,0.03387837445835212,0.09888389917852752,0.03387837445835212,3.3878374458352125,0.012802751221815737,-0.06104733175079402,wind_regime,,,,>=15,,,
,3614,0.08134157335693581,0.15367775318331378,0.08134157335693581,8.134157335693581,0.07906695920457157,-224.03563265622284,power_regime,,,,,<=.05,,
,2480,0.1545688614352691,0.22714661146749385,0.1545688614352691,15.45688614352691,0.08285437203645933,-15.53381751401123,power_regime,,,,,.05-.25,,
,2802,0.23423640076084318,0.2813435209184386,0.23423640076084318,23.423640076084318,-0.0066640728004240465,-2.768494028947218,power_regime,,,,,.25-.75,,
,1102,0.21846699740302256,0.3039533182623572,0.21846699740302256,21.846699740302256,-0.16961081666572755,-26.146071701101135,power_regime,,,,,.75-.95,,
,1554,0.10599019950041917,0.20343648463952257,0.10599019950041917,10.599019950041917,-0.10414478469207539,-321.66844802556557,power_regime,,,,,>.95,,
