model_key,feature,importance,training_rows,method
LightGBM__Top15__global__default__global__all_history,turbine_id,0.005949633693774019,64503,native_normalized
LightGBM__Top15__global__default__global__all_history,lead_hours,0.0025945371783453373,64503,native_normalized
LightGBM__Top15__global__default__global__all_history,ensemble_wind_speed_100m,0.5794211948801439,64503,native_normalized
LightGBM__Top15__global__default__global__all_history,ecmwf_wind_speed_10m,0.059538027324183375,64503,native_normalized
LightGBM__Top15__global__default__global__all_history,wind_speed_10m_mean,0.1259874901233059,64503,native_normalized
LightGBM__Top15__global__default__global__all_history,ecmwf_surface_pressure,0.03025525227087668,64503,native_normalized
LightGBM__Top15__global__default__global__all_history,day_of_year_cos,0.03667117191020555,64503,native_normalized
LightGBM__Top15__global__default__global__all_history,day_of_year_sin,0.03256623251578664,64503,native_normalized
LightGBM__Top15__global__default__global__all_history,ecmwf_wind_speed_100m,0.022018025189182208,64503,native_normalized
LightGBM__Top15__global__default__global__all_history,gfs_wind_direction_100m_sin,0.02326481476224183,64503,native_normalized
LightGBM__Top15__global__default__global__all_history,icon_wind_gusts_10m,0.020546197493636714,64503,native_normalized
LightGBM__Top15__global__default__global__all_history,gfs_wind_direction_10m_cos,0.02553234088601578,64503,native_normalized
LightGBM__Top15__global__default__global__all_history,hour_sin,0.01341126645935652,64503,native_normalized
LightGBM__Top15__global__default__global__all_history,icon_wind_speed_100m,0.006343580062652996,64503,native_normalized
LightGBM__Top15__global__default__global__all_history,gfs_relative_humidity_2m,0.015900235250292525,64503,native_normalized
