model,model_id,turbine_id,archive,probe_date,http_status,error,returned_hours,available_variable_counts,earliest_nonnull_in_probe,latest_nonnull_in_probe,nominal_offset_hours,run_lead_hours,has_nonnull_values,returned_latitude,returned_longitude,response_metadata_fields,source_run_proven,publication_time_proven,exact_point_in_time_proven,fixed_lead_method_accepted,coverage_scope,cache_key,request_url
ecmwf,ecmwf_ifs025,turbine_2,previous_runs,2025-01-01,200,,24,"{""relative_humidity_2m_previous_day1"": 24, ""relative_humidity_2m_previous_day2"": 24, ""surface_pressure_previous_day1"": 24, ""surface_pressure_previous_day2"": 24, ""temperature_2m_previous_day1"": 24, ""temperature_2m_previous_day2"": 24, ""wind_direction_100m_previous_day1"": 24, ""wind_direction_100m_previous_day2"": 24, ""wind_direction_10m_previous_day1"": 24, ""wind_direction_10m_previous_day2"": 24, ""wind_gusts_10m_previous_day1"": 0, ""wind_gusts_10m_previous_day2"": 0, ""wind_speed_100m_previous_day1"": 24, ""wind_speed_100m_previous_day2"": 24, ""wind_speed_10m_previous_day1"": 24, ""wind_speed_10m_previous_day2"": 24}",2025-01-01T00:00,2025-01-01T23:00,24;48,,True,43.75,78.5,latitude;longitude;generationtime_ms;utc_offset_seconds;timezone;timezone_abbreviation;elevation,False,False,False,True,sampled_dates_only_not_global_archive_bounds,7061c8142ebf7bbc125e33a0a1e5a7668b6fa87d0dd02ecba7fff10b01cf16b0,https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2025-01-01&hourly=wind_speed_10m_previous_day1%2Cwind_speed_10m_previous_day2%2Cwind_speed_100m_previous_day1%2Cwind_speed_100m_previous_day2%2Cwind_direction_10m_previous_day1%2Cwind_direction_10m_previous_day2%2Cwind_direction_100m_previous_day1%2Cwind_direction_100m_previous_day2%2Ctemperature_2m_previous_day1%2Ctemperature_2m_previous_day2%2Csurface_pressure_previous_day1%2Csurface_pressure_previous_day2%2Crelative_humidity_2m_previous_day1%2Crelative_humidity_2m_previous_day2%2Cwind_gusts_10m_previous_day1%2Cwind_gusts_10m_previous_day2&latitude=43.643198&longitude=78.538828&models=ecmwf_ifs025&start_date=2025-01-01&temperature_unit=celsius&timezone=GMT&wind_speed_unit=ms
ecmwf,ecmwf_ifs025,turbine_2,previous_runs,2026-02-01,200,,24,"{""relative_humidity_2m_previous_day1"": 24, ""relative_humidity_2m_previous_day2"": 24, ""surface_pressure_previous_day1"": 24, ""surface_pressure_previous_day2"": 24, ""temperature_2m_previous_day1"": 24, ""temperature_2m_previous_day2"": 24, ""wind_direction_100m_previous_day1"": 24, ""wind_direction_100m_previous_day2"": 24, ""wind_direction_10m_previous_day1"": 24, ""wind_direction_10m_previous_day2"": 24, ""wind_gusts_10m_previous_day1"": 0, ""wind_gusts_10m_previous_day2"": 0, ""wind_speed_100m_previous_day1"": 24, ""wind_speed_100m_previous_day2"": 24, ""wind_speed_10m_previous_day1"": 24, ""wind_speed_10m_previous_day2"": 24}",2026-02-01T00:00,2026-02-01T23:00,24;48,,True,43.75,78.5,latitude;longitude;generationtime_ms;utc_offset_seconds;timezone;timezone_abbreviation;elevation,False,False,False,True,sampled_dates_only_not_global_archive_bounds,d910c4b8d079c7c494a1b6da3febce7bf854403537509a36f56dab560765bc5d,https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2026-02-01&hourly=wind_speed_10m_previous_day1%2Cwind_speed_10m_previous_day2%2Cwind_speed_100m_previous_day1%2Cwind_speed_100m_previous_day2%2Cwind_direction_10m_previous_day1%2Cwind_direction_10m_previous_day2%2Cwind_direction_100m_previous_day1%2Cwind_direction_100m_previous_day2%2Ctemperature_2m_previous_day1%2Ctemperature_2m_previous_day2%2Csurface_pressure_previous_day1%2Csurface_pressure_previous_day2%2Crelative_humidity_2m_previous_day1%2Crelative_humidity_2m_previous_day2%2Cwind_gusts_10m_previous_day1%2Cwind_gusts_10m_previous_day2&latitude=43.643198&longitude=78.538828&models=ecmwf_ifs025&start_date=2026-02-01&temperature_unit=celsius&timezone=GMT&wind_speed_unit=ms
gfs,gfs_global,turbine_1,single_runs,2023-03-11,400,"The requested model run is not available. Model: ncep_gfs013, run: 2023-03-11T00:00Z",0,{},,,,,False,,,error;reason,False,False,False,False,sampled_dates_only_not_global_archive_bounds,d7e55bfd6855a7bee3753339a46412bddbbc795da8fb8b5ea92e0207112039ae,https://single-runs-api.open-meteo.com/v1/forecast?forecast_hours=49&hourly=wind_speed_10m%2Cwind_speed_100m%2Cwind_direction_10m%2Cwind_direction_100m%2Ctemperature_2m%2Csurface_pressure%2Crelative_humidity_2m%2Cwind_gusts_10m&latitude=43.64515&longitude=78.535604&models=gfs_global&run=2023-03-11T00%3A00&temperature_unit=celsius&timezone=GMT&wind_speed_unit=ms
gfs,gfs_global,turbine_1,single_runs,2025-01-01,400,"The requested model run is not available. Model: ncep_gfs013, run: 2025-01-01T00:00Z",0,{},,,,,False,,,reason;error,False,False,False,False,sampled_dates_only_not_global_archive_bounds,d1edc1bbe90362ba1ba455a084c11dfc810598433d28a9d46073e4a8cd363484,https://single-runs-api.open-meteo.com/v1/forecast?forecast_hours=49&hourly=wind_speed_10m%2Cwind_speed_100m%2Cwind_direction_10m%2Cwind_direction_100m%2Ctemperature_2m%2Csurface_pressure%2Crelative_humidity_2m%2Cwind_gusts_10m&latitude=43.64515&longitude=78.535604&models=gfs_global&run=2025-01-01T00%3A00&temperature_unit=celsius&timezone=GMT&wind_speed_unit=ms
gfs,gfs_global,turbine_1,single_runs,2026-02-01,400,"The requested model run is not available. Model: ncep_gfs013, run: 2026-02-01T00:00Z",0,{},,,,,False,,,reason;error,False,False,False,False,sampled_dates_only_not_global_archive_bounds,13d5b3f1207658b02c5d076d6102c1a862bfac71068336ad1a2d034418256b94,https://single-runs-api.open-meteo.com/v1/forecast?forecast_hours=49&hourly=wind_speed_10m%2Cwind_speed_100m%2Cwind_direction_10m%2Cwind_direction_100m%2Ctemperature_2m%2Csurface_pressure%2Crelative_humidity_2m%2Cwind_gusts_10m&latitude=43.64515&longitude=78.535604&models=gfs_global&run=2026-02-01T00%3A00&temperature_unit=celsius&timezone=GMT&wind_speed_unit=ms
gfs,gfs_global,turbine_1,previous_runs,2023-03-11,200,,24,"{""relative_humidity_2m_previous_day1"": 0, ""relative_humidity_2m_previous_day2"": 0, ""surface_pressure_previous_day1"": 0, ""surface_pressure_previous_day2"": 0, ""temperature_2m_previous_day1"": 24, ""temperature_2m_previous_day2"": 24, ""wind_direction_100m_previous_day1"": 0, ""wind_direction_100m_previous_day2"": 0, ""wind_direction_10m_previous_day1"": 0, ""wind_direction_10m_previous_day2"": 0, ""wind_gusts_10m_previous_day1"": 0, ""wind_gusts_10m_previous_day2"": 0, ""wind_speed_100m_previous_day1"": 0, ""wind_speed_100m_previous_day2"": 0, ""wind_speed_10m_previous_day1"": 0, ""wind_speed_10m_previous_day2"": 0}",2023-03-11T00:00,2023-03-11T23:00,24;48,,True,43.638138,78.515625,latitude;longitude;generationtime_ms;utc_offset_seconds;timezone;timezone_abbreviation;elevation,False,False,False,True,sampled_dates_only_not_global_archive_bounds,ec873feb1f2c1bd463c739a0656baa2e0c05f55945b8be9cdc719b8c333c524f,https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2023-03-11&hourly=wind_speed_10m_previous_day1%2Cwind_speed_10m_previous_day2%2Cwind_speed_100m_previous_day1%2Cwind_speed_100m_previous_day2%2Cwind_direction_10m_previous_day1%2Cwind_direction_10m_previous_day2%2Cwind_direction_100m_previous_day1%2Cwind_direction_100m_previous_day2%2Ctemperature_2m_previous_day1%2Ctemperature_2m_previous_day2%2Csurface_pressure_previous_day1%2Csurface_pressure_previous_day2%2Crelative_humidity_2m_previous_day1%2Crelative_humidity_2m_previous_day2%2Cwind_gusts_10m_previous_day1%2Cwind_gusts_10m_previous_day2&latitude=43.64515&longitude=78.535604&models=gfs_global&start_date=2023-03-11&temperature_unit=celsius&timezone=GMT&wind_speed_unit=ms
gfs,gfs_global,turbine_1,previous_runs,2025-01-01,200,,24,"{""relative_humidity_2m_previous_day1"": 24, ""relative_humidity_2m_previous_day2"": 24, ""surface_pressure_previous_day1"": 24, ""surface_pressure_previous_day2"": 24, ""temperature_2m_previous_day1"": 24, ""temperature_2m_previous_day2"": 24, ""wind_direction_100m_previous_day1"": 24, ""wind_direction_100m_previous_day2"": 24, ""wind_direction_10m_previous_day1"": 24, ""wind_direction_10m_previous_day2"": 24, ""wind_gusts_10m_previous_day1"": 24, ""wind_gusts_10m_previous_day2"": 24, ""wind_speed_100m_previous_day1"": 24, ""wind_speed_100m_previous_day2"": 24, ""wind_speed_10m_previous_day1"": 24, ""wind_speed_10m_previous_day2"": 24}",2025-01-01T00:00,2025-01-01T23:00,24;48,,True,43.638138,78.515625,latitude;longitude;generationtime_ms;utc_offset_seconds;timezone;timezone_abbreviation;elevation,False,False,False,True,sampled_dates_only_not_global_archive_bounds,719b9a12dac8354f5f1e1dcc65686ffadc40e0f10b1f009ca63ac7418b99693f,https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2025-01-01&hourly=wind_speed_10m_previous_day1%2Cwind_speed_10m_previous_day2%2Cwind_speed_100m_previous_day1%2Cwind_speed_100m_previous_day2%2Cwind_direction_10m_previous_day1%2Cwind_direction_10m_previous_day2%2Cwind_direction_100m_previous_day1%2Cwind_direction_100m_previous_day2%2Ctemperature_2m_previous_day1%2Ctemperature_2m_previous_day2%2Csurface_pressure_previous_day1%2Csurface_pressure_previous_day2%2Crelative_humidity_2m_previous_day1%2Crelative_humidity_2m_previous_day2%2Cwind_gusts_10m_previous_day1%2Cwind_gusts_10m_previous_day2&latitude=43.64515&longitude=78.535604&models=gfs_global&start_date=2025-01-01&temperature_unit=celsius&timezone=GMT&wind_speed_unit=ms
gfs,gfs_global,turbine_1,previous_runs,2026-02-01,200,,24,"{""relative_humidity_2m_previous_day1"": 24, ""relative_humidity_2m_previous_day2"": 24, ""surface_pressure_previous_day1"": 24, ""surface_pressure_previous_day2"": 24, ""temperature_2m_previous_day1"": 24, ""temperature_2m_previous_day2"": 24, ""wind_direction_100m_previous_day1"": 24, ""wind_direction_100m_previous_day2"": 24, ""wind_direction_10m_previous_day1"": 24, ""wind_direction_10m_previous_day2"": 24, ""wind_gusts_10m_previous_day1"": 24, ""wind_gusts_10m_previous_day2"": 24, ""wind_speed_100m_previous_day1"": 24, ""wind_speed_100m_previous_day2"": 24, ""wind_speed_10m_previous_day1"": 24, ""wind_speed_10m_previous_day2"": 24}",2026-02-01T00:00,2026-02-01T23:00,24;48,,True,43.638138,78.515625,latitude;longitude;generationtime_ms;utc_offset_seconds;timezone;timezone_abbreviation;elevation,False,False,False,True,sampled_dates_only_not_global_archive_bounds,d17d8e1ab986e4f5a3ea8ba8e003cfee5a07f3b177087d216970f290b5db4652,https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2026-02-01&hourly=wind_speed_10m_previous_day1%2Cwind_speed_10m_previous_day2%2Cwind_speed_100m_previous_day1%2Cwind_speed_100m_previous_day2%2Cwind_direction_10m_previous_day1%2Cwind_direction_10m_previous_day2%2Cwind_direction_100m_previous_day1%2Cwind_direction_100m_previous_day2%2Ctemperature_2m_previous_day1%2Ctemperature_2m_previous_day2%2Csurface_pressure_previous_day1%2Csurface_pressure_previous_day2%2Crelative_humidity_2m_previous_day1%2Crelative_humidity_2m_previous_day2%2Cwind_gusts_10m_previous_day1%2Cwind_gusts_10m_previous_day2&latitude=43.64515&longitude=78.535604&models=gfs_global&start_date=2026-02-01&temperature_unit=celsius&timezone=GMT&wind_speed_unit=ms
gfs,gfs_global,turbine_2,single_runs,2023-03-11,400,"The requested model run is not available. Model: ncep_gfs013, run: 2023-03-11T00:00Z",0,{},,,,,False,,,reason;error,False,False,False,False,sampled_dates_only_not_global_archive_bounds,cd79ad543a3680b8f5dea59dce48a03e7b0d78d6584bf380ae2fe7995fb82dec,https://single-runs-api.open-meteo.com/v1/forecast?forecast_hours=49&hourly=wind_speed_10m%2Cwind_speed_100m%2Cwind_direction_10m%2Cwind_direction_100m%2Ctemperature_2m%2Csurface_pressure%2Crelative_humidity_2m%2Cwind_gusts_10m&latitude=43.643198&longitude=78.538828&models=gfs_global&run=2023-03-11T00%3A00&temperature_unit=celsius&timezone=GMT&wind_speed_unit=ms
gfs,gfs_global,turbine_2,single_runs,2025-01-01,400,"The requested model run is not available. Model: ncep_gfs013, run: 2025-01-01T00:00Z",0,{},,,,,False,,,error;reason,False,False,False,False,sampled_dates_only_not_global_archive_bounds,ae8fe0e32027f4b8f1008275b5e7043aa62184c1dacd3113588049d0f76be064,https://single-runs-api.open-meteo.com/v1/forecast?forecast_hours=49&hourly=wind_speed_10m%2Cwind_speed_100m%2Cwind_direction_10m%2Cwind_direction_100m%2Ctemperature_2m%2Csurface_pressure%2Crelative_humidity_2m%2Cwind_gusts_10m&latitude=43.643198&longitude=78.538828&models=gfs_global&run=2025-01-01T00%3A00&temperature_unit=celsius&timezone=GMT&wind_speed_unit=ms
gfs,gfs_global,turbine_2,single_runs,2026-02-01,400,"The requested model run is not available. Model: ncep_gfs013, run: 2026-02-01T00:00Z",0,{},,,,,False,,,error;reason,False,False,False,False,sampled_dates_only_not_global_archive_bounds,d109bbca287123b29582372fa2f88deac5bc0a72e3829920bec876aec3ee0ee0,https://single-runs-api.open-meteo.com/v1/forecast?forecast_hours=49&hourly=wind_speed_10m%2Cwind_speed_100m%2Cwind_direction_10m%2Cwind_direction_100m%2Ctemperature_2m%2Csurface_pressure%2Crelative_humidity_2m%2Cwind_gusts_10m&latitude=43.643198&longitude=78.538828&models=gfs_global&run=2026-02-01T00%3A00&temperature_unit=celsius&timezone=GMT&wind_speed_unit=ms
gfs,gfs_global,turbine_2,previous_runs,2023-03-11,200,,24,"{""relative_humidity_2m_previous_day1"": 0, ""relative_humidity_2m_previous_day2"": 0, ""surface_pressure_previous_day1"": 0, ""surface_pressure_previous_day2"": 0, ""temperature_2m_previous_day1"": 24, ""temperature_2m_previous_day2"": 24, ""wind_direction_100m_previous_day1"": 0, ""wind_direction_100m_previous_day2"": 0, ""wind_direction_10m_previous_day1"": 0, ""wind_direction_10m_previous_day2"": 0, ""wind_gusts_10m_previous_day1"": 0, ""wind_gusts_10m_previous_day2"": 0, ""wind_speed_100m_previous_day1"": 0, ""wind_speed_100m_previous_day2"": 0, ""wind_speed_10m_previous_day1"": 0, ""wind_speed_10m_previous_day2"": 0}",2023-03-11T00:00,2023-03-11T23:00,24;48,,True,43.638138,78.515625,latitude;longitude;generationtime_ms;utc_offset_seconds;timezone;timezone_abbreviation;elevation,False,False,False,True,sampled_dates_only_not_global_archive_bounds,eeddba91e1024274c8205bfb3d6c2970ee3ddb82e00309ef7b640bd76c199ea5,https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2023-03-11&hourly=wind_speed_10m_previous_day1%2Cwind_speed_10m_previous_day2%2Cwind_speed_100m_previous_day1%2Cwind_speed_100m_previous_day2%2Cwind_direction_10m_previous_day1%2Cwind_direction_10m_previous_day2%2Cwind_direction_100m_previous_day1%2Cwind_direction_100m_previous_day2%2Ctemperature_2m_previous_day1%2Ctemperature_2m_previous_day2%2Csurface_pressure_previous_day1%2Csurface_pressure_previous_day2%2Crelative_humidity_2m_previous_day1%2Crelative_humidity_2m_previous_day2%2Cwind_gusts_10m_previous_day1%2Cwind_gusts_10m_previous_day2&latitude=43.643198&longitude=78.538828&models=gfs_global&start_date=2023-03-11&temperature_unit=celsius&timezone=GMT&wind_speed_unit=ms
