model,model_id,turbine_id,archive,probe_date,http_status,error,returned_hours,available_variable_counts,earliest_nonnull_in_probe,latest_nonnull_in_probe,nominal_offset_hours,run_lead_hours,has_nonnull_values,returned_latitude,returned_longitude,response_metadata_fields,source_run_proven,publication_time_proven,exact_point_in_time_proven,fixed_lead_method_accepted,coverage_scope,cache_key,request_url
ecmwf,ecmwf_ifs025,turbine_1,single_runs,2023-03-11,400,"The requested model run is not available. Model: ecmwf_ifs025, run: 2023-03-11T00:00Z",0,{},,,,,False,,,error;reason,False,False,False,False,sampled_dates_only_not_global_archive_bounds,2ea4331b382c68f91bb56612bed3c7ecbd95cae53e7353406295b3cd67c08b88,https://single-runs-api.open-meteo.com/v1/forecast?forecast_hours=49&hourly=wind_speed_10m%2Cwind_speed_100m%2Cwind_direction_10m%2Cwind_direction_100m%2Ctemperature_2m%2Csurface_pressure%2Crelative_humidity_2m%2Cwind_gusts_10m&latitude=43.64515&longitude=78.535604&models=ecmwf_ifs025&run=2023-03-11T00%3A00&temperature_unit=celsius&timezone=GMT&wind_speed_unit=ms
ecmwf,ecmwf_ifs025,turbine_1,single_runs,2025-01-01,400,"The requested model run is not available. Model: ecmwf_ifs025, run: 2025-01-01T00:00Z",0,{},,,,,False,,,error;reason,False,False,False,False,sampled_dates_only_not_global_archive_bounds,bc86d5f6859bdfe6fdd441fef38092a8589b60a572c485a49f57b90d23323de5,https://single-runs-api.open-meteo.com/v1/forecast?forecast_hours=49&hourly=wind_speed_10m%2Cwind_speed_100m%2Cwind_direction_10m%2Cwind_direction_100m%2Ctemperature_2m%2Csurface_pressure%2Crelative_humidity_2m%2Cwind_gusts_10m&latitude=43.64515&longitude=78.535604&models=ecmwf_ifs025&run=2025-01-01T00%3A00&temperature_unit=celsius&timezone=GMT&wind_speed_unit=ms
ecmwf,ecmwf_ifs025,turbine_1,single_runs,2026-02-01,400,"The requested model run is not available. Model: ecmwf_ifs025, run: 2026-02-01T00:00Z",0,{},,,,,False,,,error;reason,False,False,False,False,sampled_dates_only_not_global_archive_bounds,f9d0c43ace1d2c7c15947d3c20733a1e78b09287c531322cae09f181bff42dfe,https://single-runs-api.open-meteo.com/v1/forecast?forecast_hours=49&hourly=wind_speed_10m%2Cwind_speed_100m%2Cwind_direction_10m%2Cwind_direction_100m%2Ctemperature_2m%2Csurface_pressure%2Crelative_humidity_2m%2Cwind_gusts_10m&latitude=43.64515&longitude=78.535604&models=ecmwf_ifs025&run=2026-02-01T00%3A00&temperature_unit=celsius&timezone=GMT&wind_speed_unit=ms
ecmwf,ecmwf_ifs025,turbine_1,previous_runs,2023-03-11,200,,24,"{""relative_humidity_2m_previous_day1"": 0, ""relative_humidity_2m_previous_day2"": 0, ""surface_pressure_previous_day1"": 0, ""surface_pressure_previous_day2"": 0, ""temperature_2m_previous_day1"": 0, ""temperature_2m_previous_day2"": 0, ""wind_direction_100m_previous_day1"": 0, ""wind_direction_100m_previous_day2"": 0, ""wind_direction_10m_previous_day1"": 0, ""wind_direction_10m_previous_day2"": 0, ""wind_gusts_10m_previous_day1"": 0, ""wind_gusts_10m_previous_day2"": 0, ""wind_speed_100m_previous_day1"": 0, ""wind_speed_100m_previous_day2"": 0, ""wind_speed_10m_previous_day1"": 0, ""wind_speed_10m_previous_day2"": 0}",,,,,False,43.75,78.5,latitude;longitude;generationtime_ms;utc_offset_seconds;timezone;timezone_abbreviation;elevation,False,False,False,True,sampled_dates_only_not_global_archive_bounds,0282933679f3b338d62621f1717d38f4dd032772b01a2a7f1938b6b7135757a7,https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2023-03-11&hourly=wind_speed_10m_previous_day1%2Cwind_speed_10m_previous_day2%2Cwind_speed_100m_previous_day1%2Cwind_speed_100m_previous_day2%2Cwind_direction_10m_previous_day1%2Cwind_direction_10m_previous_day2%2Cwind_direction_100m_previous_day1%2Cwind_direction_100m_previous_day2%2Ctemperature_2m_previous_day1%2Ctemperature_2m_previous_day2%2Csurface_pressure_previous_day1%2Csurface_pressure_previous_day2%2Crelative_humidity_2m_previous_day1%2Crelative_humidity_2m_previous_day2%2Cwind_gusts_10m_previous_day1%2Cwind_gusts_10m_previous_day2&latitude=43.64515&longitude=78.535604&models=ecmwf_ifs025&start_date=2023-03-11&temperature_unit=celsius&timezone=GMT&wind_speed_unit=ms
ecmwf,ecmwf_ifs025,turbine_1,previous_runs,2025-01-01,200,,24,"{""relative_humidity_2m_previous_day1"": 24, ""relative_humidity_2m_previous_day2"": 24, ""surface_pressure_previous_day1"": 24, ""surface_pressure_previous_day2"": 24, ""temperature_2m_previous_day1"": 24, ""temperature_2m_previous_day2"": 24, ""wind_direction_100m_previous_day1"": 24, ""wind_direction_100m_previous_day2"": 24, ""wind_direction_10m_previous_day1"": 24, ""wind_direction_10m_previous_day2"": 24, ""wind_gusts_10m_previous_day1"": 0, ""wind_gusts_10m_previous_day2"": 0, ""wind_speed_100m_previous_day1"": 24, ""wind_speed_100m_previous_day2"": 24, ""wind_speed_10m_previous_day1"": 24, ""wind_speed_10m_previous_day2"": 24}",2025-01-01T00:00,2025-01-01T23:00,24;48,,True,43.75,78.5,latitude;longitude;generationtime_ms;utc_offset_seconds;timezone;timezone_abbreviation;elevation,False,False,False,True,sampled_dates_only_not_global_archive_bounds,0d0f41649c71583f825ae9640b6c1f4c99b25396709ef8f07fffa12be6fe8fb8,https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2025-01-01&hourly=wind_speed_10m_previous_day1%2Cwind_speed_10m_previous_day2%2Cwind_speed_100m_previous_day1%2Cwind_speed_100m_previous_day2%2Cwind_direction_10m_previous_day1%2Cwind_direction_10m_previous_day2%2Cwind_direction_100m_previous_day1%2Cwind_direction_100m_previous_day2%2Ctemperature_2m_previous_day1%2Ctemperature_2m_previous_day2%2Csurface_pressure_previous_day1%2Csurface_pressure_previous_day2%2Crelative_humidity_2m_previous_day1%2Crelative_humidity_2m_previous_day2%2Cwind_gusts_10m_previous_day1%2Cwind_gusts_10m_previous_day2&latitude=43.64515&longitude=78.535604&models=ecmwf_ifs025&start_date=2025-01-01&temperature_unit=celsius&timezone=GMT&wind_speed_unit=ms
ecmwf,ecmwf_ifs025,turbine_1,previous_runs,2026-02-01,200,,24,"{""relative_humidity_2m_previous_day1"": 24, ""relative_humidity_2m_previous_day2"": 24, ""surface_pressure_previous_day1"": 24, ""surface_pressure_previous_day2"": 24, ""temperature_2m_previous_day1"": 24, ""temperature_2m_previous_day2"": 24, ""wind_direction_100m_previous_day1"": 24, ""wind_direction_100m_previous_day2"": 24, ""wind_direction_10m_previous_day1"": 24, ""wind_direction_10m_previous_day2"": 24, ""wind_gusts_10m_previous_day1"": 0, ""wind_gusts_10m_previous_day2"": 0, ""wind_speed_100m_previous_day1"": 24, ""wind_speed_100m_previous_day2"": 24, ""wind_speed_10m_previous_day1"": 24, ""wind_speed_10m_previous_day2"": 24}",2026-02-01T00:00,2026-02-01T23:00,24;48,,True,43.75,78.5,latitude;longitude;generationtime_ms;utc_offset_seconds;timezone;timezone_abbreviation;elevation,False,False,False,True,sampled_dates_only_not_global_archive_bounds,d7bf4b4364dd814daf4fa268500ceb90d2840f2afbd09111eb50d1b00406ecd4,https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2026-02-01&hourly=wind_speed_10m_previous_day1%2Cwind_speed_10m_previous_day2%2Cwind_speed_100m_previous_day1%2Cwind_speed_100m_previous_day2%2Cwind_direction_10m_previous_day1%2Cwind_direction_10m_previous_day2%2Cwind_direction_100m_previous_day1%2Cwind_direction_100m_previous_day2%2Ctemperature_2m_previous_day1%2Ctemperature_2m_previous_day2%2Csurface_pressure_previous_day1%2Csurface_pressure_previous_day2%2Crelative_humidity_2m_previous_day1%2Crelative_humidity_2m_previous_day2%2Cwind_gusts_10m_previous_day1%2Cwind_gusts_10m_previous_day2&latitude=43.64515&longitude=78.535604&models=ecmwf_ifs025&start_date=2026-02-01&temperature_unit=celsius&timezone=GMT&wind_speed_unit=ms
ecmwf,ecmwf_ifs025,turbine_2,single_runs,2023-03-11,400,"The requested model run is not available. Model: ecmwf_ifs025, run: 2023-03-11T00:00Z",0,{},,,,,False,,,error;reason,False,False,False,False,sampled_dates_only_not_global_archive_bounds,53d3845adfdd8f0e384176be46d3018e3f5b86f9170990af54957dc31e60ebaa,https://single-runs-api.open-meteo.com/v1/forecast?forecast_hours=49&hourly=wind_speed_10m%2Cwind_speed_100m%2Cwind_direction_10m%2Cwind_direction_100m%2Ctemperature_2m%2Csurface_pressure%2Crelative_humidity_2m%2Cwind_gusts_10m&latitude=43.643198&longitude=78.538828&models=ecmwf_ifs025&run=2023-03-11T00%3A00&temperature_unit=celsius&timezone=GMT&wind_speed_unit=ms
ecmwf,ecmwf_ifs025,turbine_2,single_runs,2025-01-01,400,"The requested model run is not available. Model: ecmwf_ifs025, run: 2025-01-01T00:00Z",0,{},,,,,False,,,error;reason,False,False,False,False,sampled_dates_only_not_global_archive_bounds,1b2c24887f16dcdc335c9dfa7a474e2e9c449fbbb775ea4ef2c385ec8fea3124,https://single-runs-api.open-meteo.com/v1/forecast?forecast_hours=49&hourly=wind_speed_10m%2Cwind_speed_100m%2Cwind_direction_10m%2Cwind_direction_100m%2Ctemperature_2m%2Csurface_pressure%2Crelative_humidity_2m%2Cwind_gusts_10m&latitude=43.643198&longitude=78.538828&models=ecmwf_ifs025&run=2025-01-01T00%3A00&temperature_unit=celsius&timezone=GMT&wind_speed_unit=ms
ecmwf,ecmwf_ifs025,turbine_2,single_runs,2026-02-01,400,"The requested model run is not available. Model: ecmwf_ifs025, run: 2026-02-01T00:00Z",0,{},,,,,False,,,error;reason,False,False,False,False,sampled_dates_only_not_global_archive_bounds,95253d467f4e834077d397ae6f8870af36e61fd012cd21a39a06845dda4baaa2,https://single-runs-api.open-meteo.com/v1/forecast?forecast_hours=49&hourly=wind_speed_10m%2Cwind_speed_100m%2Cwind_direction_10m%2Cwind_direction_100m%2Ctemperature_2m%2Csurface_pressure%2Crelative_humidity_2m%2Cwind_gusts_10m&latitude=43.643198&longitude=78.538828&models=ecmwf_ifs025&run=2026-02-01T00%3A00&temperature_unit=celsius&timezone=GMT&wind_speed_unit=ms
ecmwf,ecmwf_ifs025,turbine_2,previous_runs,2023-03-11,200,,24,"{""relative_humidity_2m_previous_day1"": 0, ""relative_humidity_2m_previous_day2"": 0, ""surface_pressure_previous_day1"": 0, ""surface_pressure_previous_day2"": 0, ""temperature_2m_previous_day1"": 0, ""temperature_2m_previous_day2"": 0, ""wind_direction_100m_previous_day1"": 0, ""wind_direction_100m_previous_day2"": 0, ""wind_direction_10m_previous_day1"": 0, ""wind_direction_10m_previous_day2"": 0, ""wind_gusts_10m_previous_day1"": 0, ""wind_gusts_10m_previous_day2"": 0, ""wind_speed_100m_previous_day1"": 0, ""wind_speed_100m_previous_day2"": 0, ""wind_speed_10m_previous_day1"": 0, ""wind_speed_10m_previous_day2"": 0}",,,,,False,43.75,78.5,latitude;longitude;generationtime_ms;utc_offset_seconds;timezone;timezone_abbreviation;elevation,False,False,False,True,sampled_dates_only_not_global_archive_bounds,2d9aba7f13fba638a203b28fad67d48b64a1b143099ac0ff4b7a3b15ddf64de8,https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2023-03-11&hourly=wind_speed_10m_previous_day1%2Cwind_speed_10m_previous_day2%2Cwind_speed_100m_previous_day1%2Cwind_speed_100m_previous_day2%2Cwind_direction_10m_previous_day1%2Cwind_direction_10m_previous_day2%2Cwind_direction_100m_previous_day1%2Cwind_direction_100m_previous_day2%2Ctemperature_2m_previous_day1%2Ctemperature_2m_previous_day2%2Csurface_pressure_previous_day1%2Csurface_pressure_previous_day2%2Crelative_humidity_2m_previous_day1%2Crelative_humidity_2m_previous_day2%2Cwind_gusts_10m_previous_day1%2Cwind_gusts_10m_previous_day2&latitude=43.643198&longitude=78.538828&models=ecmwf_ifs025&start_date=2023-03-11&temperature_unit=celsius&timezone=GMT&wind_speed_unit=ms
